,GAME_ID,TEAM_ID,TEAM_NAME,GAME_DATE,FG3MD,FG3MS,FG3ATT,FG3PCT,GAME_OF_INTEREST,game_count
80261,0021701111,1610612745.0,Houston Rockets,2018-03-27,18,39.0,57,31.58,,1
80296,0021901290,1610612745.0,Houston Rockets,2020-08-09,18,39.0,57,31.58,,1
81515,0022300699,1610612744.0,Golden State Warriors,2024-02-03,18,38.0,56,32.14,,1
81516,0022200558,1610612744.0,Golden State Warriors,2023-01-02,19,40.0,59,32.2,,1
82151,0022100274,1610612750.0,Minnesota Timberwolves,2021-11-24,18,37.0,55,32.73,,1
82152,0022201210,1610612742.0,Dallas Mavericks,2023-04-07,18,37.0,55,32.73,,1
82153,0021800659,1610612745.0,Houston Rockets,2019-01-16,23,47.0,70,32.86,,1
88535,0021900752,1610612745.0,Houston Rockets,2020-02-04,20,40.0,60,33.33,,1
88993,0021601224,1610612745.0,Houston Rockets,2017-04-12,19,37.0,56,33.93,,1
88994,0021800753,1610612745.0,Houston Rockets,2019-01-29,19,37.0,56,33.93,,1
88995,0041900172,1610612745.0,Houston Rockets,2020-08-20,19,37.0,56,33.93,,1
88996,0022000157,1610612748.0,Miami Heat,2021-01-12,19,37.0,56,33.93,,1
89581,0021901248,1610612745.0,Houston Rockets,2020-08-02,21,40.0,61,34.43,,1
91259,0022300561,1610612739.0,Cleveland Cavaliers,2024-01-15,20,37.0,57,35.09,,1
92549,0021700826,1610612751.0,Brooklyn Nets,2018-02-10,21,38.0,59,35.59,,1
92550,0022200969,1610612738.0,Boston Celtics,2023-03-05,21,38.0,59,35.59,,1
94186,0021801145,1610612737.0,Atlanta Hawks,2019-03-31,22,39.0,61,36.07,,1
94336,0021801221,1610612751.0,Brooklyn Nets,2019-04-10,21,37.0,58,36.21,,1
95871,0022300710,1610612760.0,Oklahoma City Thunder,2024-02-04,23,40.0,63,36.51,,1
96046,0021800928,1610612737.0,Atlanta Hawks,2019-03-01,22,38.0,60,36.67,,1
96147,0021800686,1610612745.0,Houston Rockets,2019-01-19,25,43.0,68,36.76,,1
97369,0021801184,1610612745.0,Houston Rockets,2019-04-05,22,37.0,59,37.29,,1
100766,0021800844,1610612745.0,Houston Rockets,2019-02-11,23,37.0,60,38.33,,1
103668,0021600395,1610612745.0,Houston Rockets,2016-12-16,24,37.0,61,39.34,,1
103669,0022200337,1610612742.0,Dallas Mavericks,2022-12-03,24,37.0,61,39.34,,1
0,0,,,,,,,,,136711
