streak_val,streak_count,game_count
-28,2,0
-27,3,1
-26,2,0
-25,1,1
-24,8,1
-23,4,0
-22,12,1
-21,21,4
-20,27,8
-19,35,11
-18,58,24
-17,94,31
-16,147,66
-15,244,109
-14,404,181
-13,599,316
-12,905,603
-11,1418,921
-10,2249,1629
-9,3463,2645
-8,5286,4423
-7,8221,7320
-6,12694,11909
-5,20102,19663
-4,31065,31962
-3,48860,52910
-2,76320,86148
-1,118389,139426
1,212501,222406
2,76119,76434
3,27033,26007
4,9604,8922
5,3492,3028
6,1232,1005
7,413,332
8,156,125
9,37,23
10,18,13
11,10,6
12,5,4
14,1,1
